Choose Branch,العام 2024,Status,تاريخ الدفع,الايصال
مار ميخائيل - فغال,USD5.00,غير مدفوع,,
مار زخيا - عمشيت,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1Tdiao9c1sXDdPH4YX6RD7sAaomXYPbjQ/view
مار يوحنا المعمدان - عمشيت,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1U76VSWbtOaJv6Ec06njCZZ4oDhgVwiF1/view
مار عبدا - كفرمسحون,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1Tf50NgV_97KLpCVzd9AxbVlzqtESic-O/view
مار نعمة الله - اده,USD5.00,غير مدفوع,,
مار جرجس - جبيل,USD5.00,غير مدفوع,,
مار يوحنا مرقس - جبيل,USD5.00,غير مدفوع,,
القديسة تقلا - قرطبون,USD5.00,مدفوع,28-Apr-24,https://drive.google.com/file/d/1VI97mRrvnOyvsvcGQMba44EbO2lMupFm/view?usp=drive_link
سيدة الدوير - الفيدار,USD5.00,غير مدفوع,,
مار جرجس - حالات,USD5.00,غير مدفوع,,
مار جرجس - نهر ابراهيم,USD5.00,غير مدفوع,,
مار يوحنا المعمدان - زبدين,USD5.00,غير مدفوع,,
مار يوسف - بشلّي,USD5.00,غير مدفوع,,
مار عبدا - بلاط,USD5.00,غير مدفوع,,
مارت تقلا - البريج,USD5.00,غير مدفوع,,
مار اسطفان - لحفد,USD5.00,غير مدفوع,,
مار ضومط - مشمش,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1TgIitb70xopy4hQm-UtXwa7tcnK6ClUF/view
سيدة النجاة - كفربعال,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1TvN-c_8AAeM2coiVQWzls6kURGXvywcz/view
سيدة الشير - اهمج,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1U0n2r0W9gt0Q6mTWoSyQ3wzt5pS9ShRy/view
سيدة ايليج - ميفوق,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1TqqliwbA4f2JXfAxrniem1FHqnivfW2V/view
مار أنطونيوس الكبير - أدونيس,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1TpQaN_DV_3LCYUxdGpvvjyHtNWv9Zzlb/view
مار شلّيطا - كفون,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1U9BMHr8K3GQLZ6XBvxACg1rVTdu9ahi7/view
مار عبدا - جاج,USD5.00,غير مدفوع,,
سيدة البيدر - حصارات,USD5.00,غير مدفوع,,
مار انطونيوس- مستيتا,USD5.00,غير مدفوع,,
القديسة رفقا - المنصف,USD0.00,غير مدفوع,,
مار جرجس - الخاربة,USD5.00,غير مدفوع,,
مار جرجس - غلبون,USD5.00,غير مدفوع,,
مار الياس - الحصون,USD5.00,غير مدفوع,,
