Choose Branch,العام 2023,Status,تاريخ الدفع,الايصال,العام 2024,Status,تاريخ الدفع,الايصال
مار ميخائيل - فغال,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1TdpY-GFGSUB8xaxwJdt8lBmZ90fXZyIS/view?usp=drive_copy,USD5.00,غير مدفوع,,
مار زخيا - عمشيت,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1Tb8aGBMF4mgCkEGo2frTHYROVoq4Edqi/view,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1Tdiao9c1sXDdPH4YX6RD7sAaomXYPbjQ/view
مار يوحنا المعمدان - عمشيت,"LBP200,000",مدفوع,21-May-23,https://drive.google.com/file/d/1Ux67RLfsOM6mYYcQuYDWr58l0p9FRb85/view,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1U76VSWbtOaJv6Ec06njCZZ4oDhgVwiF1/view
مار عبدا - كفرمسحون,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1TpBMCDixnVuEqX3qdEmh7Z-qA9NduBMp/view,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1Tf50NgV_97KLpCVzd9AxbVlzqtESic-O/view
مار نعمة الله - اده,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
مار جرجس - جبيل,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
مار يوحنا مرقس - جبيل,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
القديسة تقلا - قرطبون,"LBP200,000",مدفوع,21-May-23,https://drive.google.com/file/d/1V-XChwGBreEOJRKKq5mbaDtBkTC7lnEn/view,USD5.00,غير مدفوع,,
سيدة الدوير - الفيدار,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
مار جرجس - حالات,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
مار جرجس - نهر ابراهيم,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
مار يوحنا المعمدان - زبدين,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1TaGc1t02aN0r8EPAHNnuXu81EQDEd7Em/view,USD5.00,غير مدفوع,,
مار يوسف - بشلّي,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
مار عبدا - بلاط,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1UGx9jymNy9uxXRlFzopy5v3Fl9qFnsYX/view,USD5.00,غير مدفوع,,
مارت تقلا - البريج,"LBP200,000",مدفوع,21-May-23,https://drive.google.com/file/d/1Utapw0QwBtvYfcotjSnlgpmR4O7v-aIL/view,USD5.00,غير مدفوع,,
مار اسطفان - لحفد,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
مار ضومط - مشمش,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1Tr2RSyPriCQ_1KZ0WCi-2lm_9dnUyJb-/view,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1TgIitb70xopy4hQm-UtXwa7tcnK6ClUF/view
سيدة النجاة - كفربعال,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1Tibv18juL93jPfyfE1L78HxkDRbPu__o/view,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1TvN-c_8AAeM2coiVQWzls6kURGXvywcz/view
سيدة الشير - اهمج,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1TpPyYMFP_9jojv4TVeagkYstcScBWsn7/view,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1U0n2r0W9gt0Q6mTWoSyQ3wzt5pS9ShRy/view
سيدة ايليج - ميفوق,"LBP200,000",مدفوع,21-May-23,https://drive.google.com/file/d/1V1OITOlX3wL_6VH68rw_R2jqan9STnTK/view,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1TqqliwbA4f2JXfAxrniem1FHqnivfW2V/view
مار أنطونيوس الكبير - أدونيس,"LBP200,000",مدفوع,29-Apr-23,https://drive.google.com/file/d/1U0LahLAc01TqPzKF9Y8SHm2y4LdMq1eB/view,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1TpQaN_DV_3LCYUxdGpvvjyHtNWv9Zzlb/view
مار شلّيطا - كفون,LBP0,-,,,USD5.00,مدفوع,6-Jan-24,https://drive.google.com/file/d/1U9BMHr8K3GQLZ6XBvxACg1rVTdu9ahi7/view
مار عبدا - جاج,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
سيدة البيدر - حصارات,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
مار انطونيوس- مستيتا,"LBP200,000",غير مدفوع,,,USD5.00,غير مدفوع,,
القديسة رفقا - المنصف,LBP0,-,,,USD0.00,غير مدفوع,,
مار جرجس - الخاربة,LBP0,-,,,USD5.00,غير مدفوع,,
مار جرجس - غلبون,LBP0,-,,,USD5.00,غير مدفوع,,
مار الياس - الحصون,LBP0,-,,,USD5.00,غير مدفوع,,
